package,module,source,output,reference,generic_before,generic_after,renamed_symbols,syntax_ok,bytecode_equal,encoding_ok,newline_ok,mode
mir264,mir2.scenes.main.panel.heroBag1,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.heroBag1,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.heroBag1.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.heroBag.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.heroEquip,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.heroEquip,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.heroEquip.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.heroEquip.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.heroHead,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.heroHead,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.heroHead.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.heroHead.lua,219,0,40,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.magicKeySetting,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.magicKeySetting,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.magicKeySetting.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.magicKeySetting.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.mixingDrug,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.mixingDrug,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.mixingDrug.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.mixingDrug.lua,397,0,93,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.nicehp,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.nicehp,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.nicehp.lua,,398,0,89,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.npc1,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.npc1,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.npc1.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.npc.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.screenshot,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.screenshot,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.screenshot.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.screenshot.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.screenshotLook,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.screenshotLook,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.screenshotLook.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.screenshotLook.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.security,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.security,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.security.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.security.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.storage,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.storage,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.storage.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.storage.lua,4,0,2,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.storage1,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.storage1,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.storage1.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.storage.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.strengthen,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.strengthen,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.strengthen.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.strengthen.lua,733,0,179,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.treasureBox,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.treasureBox,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.treasureBox.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.treasureBox.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.UIEditor,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.UIEditor,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.UIEditor.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.UIEditor.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.voice,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.voice,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.voice.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.voice.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.panel.ybdeal,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.ybdeal,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.ybdeal.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.panel.ybdeal.lua,453,0,124,True,True,True,True,scoped-readable+method-sugar
mir264,mir2.scenes.main.panel.yiyimonhp,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.panel.yiyimonhp,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.panel.yiyimonhp.lua,,71,0,17,True,True,True,True,function-local-readable+method-sugar
